description_norm,n_occurrences,n_years,first_year,last_year,sample_text,first_era
1855,8,1,1855,1855,1855,post_1840
1856,8,1,1856,1856,1856,post_1840
1861,8,1,1861,1861,1861,post_1840
1863,8,1,1863,1863,1863,post_1840
1864,8,1,1864,1864,1864,post_1840
1870,8,1,1870,1870,1870,post_1840
1872,8,1,1872,1872,1872,post_1840
1878,8,1,1878,1878,1878,post_1840
1880,8,1,1880,1880,1880,post_1840
1829,7,1,1829,1829,1829.,industrial_1760_1840
1862,7,1,1862,1862,1862,post_1840
1866,7,1,1866,1866,1866,post_1840
1867,7,1,1867,1867,1867,post_1840
1868,7,1,1868,1868,1868,post_1840
1873,7,1,1873,1873,1873,post_1840
1873 4,7,1,1873,1873,1873-4,post_1840
1882,7,1,1882,1882,1882,post_1840
1828,6,1,1828,1828,1828.,industrial_1760_1840
1857,6,1,1857,1857,1857,post_1840
1858,6,1,1858,1858,1858,post_1840
1860,6,1,1860,1860,1860,post_1840
1865,6,1,1865,1865,1865,post_1840
1822,3,1,1822,1822,1822.,industrial_1760_1840
1837,3,1,1837,1837,1837.,industrial_1760_1840
1896,3,1,1896,1896,1896,post_1840
1897,3,1,1897,1897,1897.,post_1840
1898,3,1,1898,1898,1898.,post_1840
1900,3,1,1900,1900,1900.,post_1840
1020,2,1,1828,1828,1020.,industrial_1760_1840
1023 4,2,1,1824,1824,1023-4,industrial_1760_1840
1745,2,1,1746,1746,1745,pre_1760
1750,2,1,1750,1750,1750.,pre_1760
1758,2,1,1758,1758,1758,pre_1760
1765,2,1,1765,1765,1765.,industrial_1760_1840
1802,2,1,1801,1801,1802,industrial_1760_1840
1807,2,1,1806,1806,1807,industrial_1760_1840
1809,2,1,1809,1809,1809,industrial_1760_1840
1816,2,1,1817,1817,1816,industrial_1760_1840
1817,2,1,1817,1817,1817,industrial_1760_1840
1823 4,2,1,1824,1824,1823-4,industrial_1760_1840
1852,2,1,1852,1852,1852.,post_1840
1893,2,1,1893,1893,1893.,post_1840
1899,2,1,1899,1899,1899.,post_1840
bromakew fund,2,1,1827,1827,... Bromakew Fund,industrial_1760_1840
brought up,2,1,1865,1865,Brought up.,post_1840
domus fund payment on aut of,2,1,1869,1869,Domus Fund payment on aut of.,post_1840
domus fund payments on acct of,2,1,1869,1869,Domus Fund. Payments on acct of,post_1840
joh conybeare,2,1,1718,1718,Joh: Conybeare,pre_1760
little cow,2,1,1813,1813,Little Cow -,industrial_1760_1840
little tero,2,1,1810,1810,Little Tero,industrial_1760_1840
little town,2,1,1817,1817,Little Town,industrial_1760_1840
money rent fixed,2,1,1808,1808,Money Rent fixed,industrial_1760_1840
mr gagnius,2,1,1723,1723,Mr Gagnius,pre_1760
sun,2,1,1876,1876,(Sun),post_1840
1,1,1,1882,1882,1,post_1840
1 2 years rent on thrupp estate,1,1,1876,1876,1/2 years Rent on Thrupp Estate,post_1840
1 estates,1,1,1884,1884,(1) Estates,post_1840
1 funds applicable wholly or in part to purposes within the college,1,1,1884,1884,1. Funds applicable wholly or in part to purposes within the College.,post_1840
1 the money is now invested in stock no similar entry therefore will appear again,1,1,1866,1866,1. The money is now invested in Stock. No similar Entry therefore will appear again,post_1840
10 payments to vicar augmentation of benefices,1,1,1882,1882,10 Payments to Vicar augmentation of Benefices,post_1840
1008,1,1,1809,1809,1008,industrial_1760_1840
1009,1,1,1809,1809,1009,industrial_1760_1840
1020 soluta varia 1828,1,1,1828,1828,1020. Soluta Varia. 1828,industrial_1760_1840
1021,1,1,1821,1821,1021.,industrial_1760_1840
1023 4 1824,1,1,1824,1824,1023-4.                                          1824,industrial_1760_1840
1029,1,1,1829,1829,1029.,industrial_1760_1840
1058,1,1,1858,1858,1058,post_1840
11,1,1,1894,1894,11,post_1840
11 donations for churches schools,1,1,1882,1882,11 Donations for Churches Schools,post_1840
12 other expenditure in respect of dilap,1,1,1882,1882,12 Other expenditure in respect of Dilap.,post_1840
12 scholars,1,1,1891,1891,(12) Scholars :,post_1840
13,1,1,1895,1895,13,post_1840
13 lad lane improved rent see dr book p 197,1,1,1810,1810,13 Lad Lane improved Rent see Dr. Book P. 197,industrial_1760_1840
15mis deductiv,1,1,1824,1824,                                  15mis Deductiv.,industrial_1760_1840
16 m r hartin s acc t for merton viz,1,1,1804,1804,"- 16 M^r Hartin's Acc^t for Merton, viz.",industrial_1760_1840
17,1,1,1895,1895,17,post_1840
1700,1,1,1700,1700,1700,pre_1760
1723,1,1,1725,1725,1723,pre_1760
1732 ad eundem diem revolutum 1733,1,1,1733,1733,1732. ad eundem diem revolutum 1733.,pre_1760
1737,1,1,1737,1737,1737.,pre_1760
1744,1,1,1745,1745,1744,pre_1760
1747,1,1,1748,1748,1747,pre_1760
1748,1,1,1749,1749,1748,pre_1760
1748 soluta varia,1,1,1748,1748,1748 Soluta Varia.,pre_1760
1749,1,1,1750,1750,1749.,pre_1760
1749 soluta varia,1,1,1749,1749,1749. Soluta Varia.,pre_1760
1750 soluta varia,1,1,1751,1751,1750. Soluta Varia.,pre_1760
1756,1,1,1756,1756,1756.,pre_1760
1757,1,1,1758,1758,1757,pre_1760
1765 decbr 8,1,1,1766,1766,1765 Decbr 8,industrial_1760_1840
1772 2 114,1,1,1849,1849,1772 2 114,post_1840
18 other internal expenditure,1,1,1882,1882,18 Other internal Expenditure,post_1840
1800 messrs briddulph cochrn ridge,1,1,1807,1807,"1800 Messrs Briddulph, Cochrn & Ridge",industrial_1760_1840
1802 recepta varia,1,1,1802,1802,1802 Recepta varia,industrial_1760_1840
1802 rectori scholasticus et officiariis,1,1,1802,1802,"1802 Rectori, Scholasticus et Officiariis",industrial_1760_1840
1802 soluta varia,1,1,1802,1802,1802 Soluta varia,industrial_1760_1840
1803 dno rectori scholaribus et officiariis,1,1,1803,1803,"1803 Dno. Rectori, Scholaribus, et Officiariis",industrial_1760_1840
1803 expences property tax charged in bankers accounts,1,1,1803,1803,1803 Expences & Property Tax charged in Bankers Accounts,industrial_1760_1840
1803 state of the fund for advowsons in the reduced,1,1,1803,1803,1803 State of the Fund for Advowsons in the Reduced,industrial_1760_1840
1805 dr rectori scholaribus et officiariis,1,1,1805,1805,"1805 Dr. Rectori, Scholaribus et Officiariis",industrial_1760_1840
1805 messs biddulph cocks ridge co,1,1,1804,1804,"1805 Messs. Biddulph, Cocks, Ridge & Co.",industrial_1760_1840
1806,1,1,1806,1806,1806,industrial_1760_1840
1806 d o rectori scholaribus et officiariis,1,1,1806,1806,"1806 Dño Rectori, Scholaribus et Officiariis",industrial_1760_1840
1806 messrs t biddulph cocks ridge co,1,1,1805,1805,"1806 Messrs. T. Biddulph, Cocks, Ridge & Co.",industrial_1760_1840
1806 recepta varia,1,1,1806,1806,1806 Recepta Varia,industrial_1760_1840
1807 settled with mr hartin for merton,1,1,1806,1806,1807 Settled with Mr. Hartin for Merton.,industrial_1760_1840
1808,1,1,1809,1809,1808,industrial_1760_1840
1808 soluta varia,1,1,1808,1808,1808 Soluta Varia,industrial_1760_1840
1809 messr biddulph cocks ridge,1,1,1809,1809,"1809 Messr Biddulph, Cocks & Ridge",industrial_1760_1840
1809 recepta varia,1,1,1809,1809,1809 Recepta Varia,industrial_1760_1840
1810 recepta varia,1,1,1810,1810,1810 Recepta Varia,industrial_1760_1840
1811,1,1,1810,1810,1811,industrial_1760_1840
1815 soluta varia 1815,1,1,1816,1816,1815 Soluta Varia 1815,industrial_1760_1840
1818,1,1,1818,1818,1818.,industrial_1760_1840
182,1,1,1826,1826,182,industrial_1760_1840
1820,1,1,1828,1828,1820.,industrial_1760_1840
1820 1821,1,1,1821,1821,"1820
1821.",industrial_1760_1840
1822 feb 20,1,1,1822,1822,1822 Feb.20,industrial_1760_1840
1823,1,1,1823,1823,1823.,industrial_1760_1840
1824 recepta varia,1,1,1824,1824,1824 Recepta Varia.,industrial_1760_1840
1825 soluta varia,1,1,1825,1825,1825 Soluta Varia.,industrial_1760_1840
1827 boro overseer,1,1,1827,1827,1827 Boro. Overseer,industrial_1760_1840
1827 recepta varia,1,1,1827,1827,1827 Recepta Varia.,industrial_1760_1840
1828 soluta ordinaria,1,1,1828,1828,1828 Soluta Ordinaria.,industrial_1760_1840
183a,1,1,1834,1834,183A.,industrial_1760_1840
1840,1,1,1840,1840,1840,industrial_1760_1840
1841,1,1,1841,1841,1841,post_1840
1843,1,1,1873,1873,1843,post_1840
1850 july 16 a 2d die nov a d 1848,1,1,1848,1848,"1850 July 16, A 2d die Nov. A.D. 1848",post_1840
1851,1,1,1850,1850,1851,post_1840
1852 recepta anni praesentis,1,1,1852,1852,1852. Recepta Anni praesentis.,post_1840
1852 recepta varia,1,1,1852,1852,1852. Recepta Varia.,post_1840
1852 soluta ordinaria,1,1,1852,1852,1852. Soluta Ordinaria,post_1840
1852 soluta varia,1,1,1852,1852,1852 Soluta Varia.,post_1840
1853,1,1,1853,1853,1853.,post_1840
1853 recefpla varia,1,1,1853,1853,1853.. Recefpla Varia.,post_1840
1853 recepta anni praesentis,1,1,1853,1853,1853. Recepta Anni praesentis.,post_1840
1853 solita ordinaria,1,1,1853,1853,1853. Solita Ordinaria.,post_1840
1853 soluta varia,1,1,1853,1853,1853. Soluta Varia.,post_1840
1873 1874,1,1,1873,1873,1873-1874-,post_1840
1879 nov 20,1,1,1880,1880,1879 Nov 20,post_1840
1893 general account,1,1,1893,1893,1893. General Account,post_1840
1894,1,1,1894,1894,1894,post_1840
1894 general account,1,1,1894,1894,1894 General Account,post_1840
1895,1,1,1895,1895,1895,post_1840
1895 general account,1,1,1895,1895,1895  General Account,post_1840
19,1,1,1880,1880,19,post_1840
19 to decr 31st 1896,1,1,1896,1896,19 To Decr 31st 1896,post_1840
1902,1,1,1882,1882,1902,post_1840
1923 4,1,1,1824,1824,1923-4.,industrial_1760_1840
2 die nov bis 1850,1,1,1850,1850,2° die Nov bis 1850,post_1840
2 die novembris,1,1,1827,1827,2º Die Novembris.,industrial_1760_1840
2 die novembris 1858,1,1,1858,1858,2 die Novembris 1858,post_1840
2 die novembris a d 1831,1,1,1831,1831,2° die Novembris A.D. 1831.,industrial_1760_1840
2 do die novembris 1854,1,1,1854,1854,2^do die Novembris 1854,post_1840
2 the dispute is now settled it had relation to a small piece of land while the occupier refused to give up to the person to whom it was an underlet at the time of the barrow enclosure he at length gave it up and paid the rent due,1,1,1866,1866,2. The dispute is now settled. it had relation to a small piece of land. While the occupier refused to give up to the person to whom it was an underlet at the time of the Barrow enclosure he at length gave it up and paid the Rent due,post_1840
2 year,1,1,1863,1863,2 Year.,post_1840
21,1,1,1896,1896,21,post_1840
25 die novembris,1,1,1828,1828,25º die Novembris,industrial_1760_1840
28,1,1,1897,1897,28,post_1840
29,1,1,1897,1897,29,post_1840
2da die novembris 1833,1,1,1833,1833,2da die Novembris. 1833.,industrial_1760_1840
2do dic novembris,1,1,1842,1842,2do dic Novembris,post_1840
2do die nov bris 1845,1,1,1845,1845,2do die Nov:bris 1845,post_1840
2do die nov bris 1847,1,1,1847,1847,2do die Nov'bris 1847,post_1840
2do die nov ris 1846,1,1,1846,1846,2do die Nov'ris 1846,post_1840
2do die novbris 1843,1,1,1843,1843,2do die Novbris 1843,post_1840
2do die novbris 1844,1,1,1844,1844,2do die Novbris 1844,post_1840
2do die novembris 1848,1,1,1848,1848,2do die Novembris 1848,post_1840
2do die novembris 1857,1,1,1857,1857,2do die Novembris 1857.,post_1840
2do die novembris 1861,1,1,1861,1861,2do die Novembris 1861,post_1840
2do die novembris 1863,1,1,1863,1863,2do Die Novembris 1863,post_1840
2do die novembris a d 1830,1,1,1830,1830,2do die Novembris. A.D. 1830.,industrial_1760_1840
2do die novembris a d 1832,1,1,1832,1832,2do die Novembris. A.D. 1832,industrial_1760_1840
2do die novembris a d 1835,1,1,1835,1835,2do die Novembris. A.D. 1835.,industrial_1760_1840
2do die novembris a d 1838,1,1,1838,1838,2do die Novembris A.D. 1838.,industrial_1760_1840
2nd die novembris 1860,1,1,1860,1860,2nd die Novembris 1860,post_1840
2nd payt,1,1,1877,1877,2nd payt,post_1840
2ndo die novembris 1866,1,1,1866,1866,2ndo die Novembris 1866,post_1840
2ndo die novembris 1868,1,1,1868,1868,2ndo die Novembris 1868,post_1840
2nds die novembris 1853,1,1,1853,1853,2nds die Novembris 1853,post_1840
2o die novembris 1819,1,1,1849,1849,2o die Novembris 1819,post_1840
2o die novembris 1821,1,1,1821,1821,à 2o die Novembris 1821.,industrial_1760_1840
2o die novembris a d 1836,1,1,1836,1836,2o die Novembris A. D. 1836.,industrial_1760_1840
3 in the entry 36 14 6 is said to be included in the increment by an oversight it was not included,1,1,1866,1866,3. In the entry £36:14:6 is said to be included in the Increment by an oversight it was not included,post_1840
3 maintenance repairs col buildgs,1,1,1882,1882,3. Maintenance & Repairs (Col. Buildgs.),post_1840
3 tio die novembris 1862,1,1,1862,1862,3^tio die Novembris 1862,post_1840
3 yrs pensions to the bishop dean ch of sarum,1,1,1818,1818,# 3 Yrs Pensions to the Bishop & Dean & Ch. of Sarum,industrial_1760_1840
31,1,1,1898,1898,31,post_1840
33,1,1,1898,1898,33,post_1840
35,1,1,1898,1898,35,post_1840
37 dec r 31st 1899 receipts general acct,1,1,1899,1899,37 Dec'r 31st 1899 Receipts General Acct,post_1840
39,1,1,1899,1899,39,post_1840
4 chapel services,1,1,1882,1882,4 Chapel Services &,post_1840
4 quit rents,1,1,1882,1882,4 Quit Rents,post_1840
41,1,1,1899,1899,41,post_1840
43 to dec 31 1900,1,1,1900,1900,43 To Dec:31.1900.,post_1840
45,1,1,1900,1900,45,post_1840
47,1,1,1900,1900,47,post_1840
48,1,1,1900,1900,48,post_1840
5 pr ct transferred to exeter college by the,1,1,1809,1809,5 pr Ct transferred to Exeter College by the,industrial_1760_1840
5 rates taxes and insurances,1,1,1882,1882,5 Rates Taxes and Insurances,post_1840
581,1,1,1881,1881,581,post_1840
7,1,1,1882,1882,7,post_1840
7 agency and management,1,1,1882,1882,7 Agency and Management,post_1840
8 colleg entertainments,1,1,1882,1882,8 Colleg entertainments,post_1840
8 law charges,1,1,1882,1882,8 Law Charges,post_1840
9 repairs improvements,1,1,1882,1882,9 Repairs & Improvements,post_1840
a 2 die novembris 1821,1,1,1827,1827,a 2º Die Novembris. 1821.,industrial_1760_1840
a 2 o die novembris 1822,1,1,1822,1822,a 2.o die Novembris. 1822.,industrial_1760_1840
a 2 o die novembris 1833,1,1,1834,1834,a 2.o die Novembris. 1833.,industrial_1760_1840
a 2d die novembris a d 1804 ad,1,1,1804,1804,a 2d die Novembris A.D. 1804. ad,industrial_1760_1840
a 2do die novbr ad 1819,1,1,1844,1844,a 2do die Novbr: AD 1819,post_1840
a 2do die novembris 1750 ad eundem,1,1,1751,1751,a 2do Die Novembris 1750 ad eundem,pre_1760
a 2do die novembris 1751 ad eundem diem,1,1,1752,1752,a 2do Die Novembris 1751 ad eundem Diem,pre_1760
a 2do die novembris 1817 ad eundem diem,1,1,1817,1817,a 2do die Novembris 1817 ad eundem Diem,industrial_1760_1840
a 2do die novembris 1820,1,1,1820,1820,a 2do Die Novembris. 1820.,industrial_1760_1840
a 2do die novembris 1823,1,1,1823,1823,a 2do Die Novembris. 1823.,industrial_1760_1840
a 2do die novembris 1824,1,1,1824,1824,a 2do Die Novembris 1824.,industrial_1760_1840
a 2do die novembris 1825,1,1,1825,1825,a 2do die Novembris 1825.,industrial_1760_1840
a 2do die novembris 1826,1,1,1826,1826,a 2do Die Novembris. 1826.,industrial_1760_1840
a 2do die novembris 1828,1,1,1828,1828,a 2do die Novembris 1828.,industrial_1760_1840
a 2do die novembris 1829,1,1,1829,1829,a 2do die Novembris 1829.,industrial_1760_1840
a 2do die novembris 1830,1,1,1830,1830,a 2do die Novembris 1830.,industrial_1760_1840
a 2do die novembris 1831,1,1,1831,1831,a 2do die Novembris 1831,industrial_1760_1840
a 2do die novembris 1832,1,1,1832,1832,a 2do die Novembris 1832,industrial_1760_1840
a 2do die novembris 1834,1,1,1834,1834,a 2do die Novembris 1834.,industrial_1760_1840
a 2do die novembris 1835,1,1,1835,1835,a 2do die Novembris 1835,industrial_1760_1840
a 2do die novembris 1836,1,1,1836,1836,a 2do die Novembris 1836,industrial_1760_1840
a 2do die novembris 1838,1,1,1838,1838,a 2do die Novembris 1838,industrial_1760_1840
a 2do die novembris 1839,1,1,1839,1839,a 2do die Novembris 1839,industrial_1760_1840
a 2do die novembris 1840,1,1,1840,1840,a 2do die Novembris 1840,industrial_1760_1840
a 2do die novembris 1841,1,1,1841,1841,a 2do die Novembris 1841,post_1840
a 2do die novembris 1842,1,1,1842,1842,a 2do die Novembris 1842,post_1840
a 2do die novembris 1843,1,1,1843,1843,a 2do die Novembris 1843,post_1840
a 2do die novembris a d 1816,1,1,1846,1846,a 2do die Novembris A.D. 1816,post_1840
a 2do die novembris a d 1819,1,1,1819,1819,a 2do Die Novembris. A.D. 1819.,industrial_1760_1840
a 2do die novembris a d 1847,1,1,1847,1847,a 2do die Novembris A.D. 1847,post_1840
a 2do die novembris a d 1849,1,1,1849,1849,a 2do die Novembris A. D. 1849,post_1840
a 2do die novembris a d 1852 ad eundem,1,1,1853,1853,"a 2do die Novembris A.D. 1852, ad eundem",post_1840
a 2do die novembris a d 1854 ad,1,1,1855,1855,a 2do die Novembris A. D. 1854 ad,post_1840
a 2do die novri 1812 ad eundem diem revolutum an d 1813,1,1,1812,1812,a 2do die Novri 1812 ad eundem diem revolutum An D. 1813.,industrial_1760_1840
a d 1808 ad eundem diem resolution,1,1,1808,1808,A. D. 1808 ad eundem diem resolution,industrial_1760_1840
a d 1809,1,1,1808,1808,A. D. 1809,industrial_1760_1840
a d 1822,1,1,1822,1822,A.D. 1822.,industrial_1760_1840
a d 1829,1,1,1829,1829,A.D. 1829.,industrial_1760_1840
a d no computante,1,1,1808,1808,a D no Computante,industrial_1760_1840
a e dakin fellow,1,1,1871,1871,A & E Dakin Fellow,post_1840
a e donkin fellow,1,1,1872,1872,A. E. Donkin Fellow.,post_1840
a fest nativit,1,1,1711,1711,A. Fest. Nativit.,pre_1760
a quo compentante,1,1,1743,1743,a quo Compentante,pre_1760
a quo computante,1,1,1762,1762,a quo Computante.,industrial_1760_1840
a receipia recipienda novr die 2do 1767,1,1,1767,1767,A receipia Recipienda ? Novr die 2do 1767,industrial_1760_1840
a sec do die novbris a d 1845,1,1,1845,1845,a Sec.do die Novbris A.D. 1845,post_1840
a secundo die mensis novembris 1743,1,1,1744,1744,a Secundo die mensis Novembris 1743.,pre_1760
a secundo die nov 1736 ab eundem diem revolutum,1,1,1737,1737,a Secundo Die Nov: 1736 ab eundem Diem revolutum,pre_1760
a secundo die nov 1739 et eundem diem revolutam 1740,1,1,1740,1740,a Secundo Die Nov: 1739 et eundem Diem revolutam 1740,pre_1760
a secundo die novembris 1740 ad eundem diem,1,1,1741,1741,a secundo Die Novembris 1740. ad eundem Diem,pre_1760
a secundo die novembris 1744 ad eisdem diem,1,1,1745,1745,a Secundo Die Novembris 1744 ad eisdem Diem,pre_1760
a secundo die novembris 1746 ad eundem,1,1,1747,1747,a Secundo Die Novembris 1746. ad eundem,pre_1760
a secundo die novembris 1748 ad ejusdem,1,1,1749,1749,a secundo die Novembris 1748 ad ejusdem,pre_1760
a secundo die novembris 1749 ad eundem,1,1,1750,1750,a Secundo die Novembris 1749 ad eundem,pre_1760
a secundo die novembris a d 1801,1,1,1801,1801,a secundo die Novembris A.D. 1801,industrial_1760_1840
a secundo die novembris anno 1742,1,1,1743,1743,a Secundo Die Novembris Anno 1742.,pre_1760
a sues die novembris 1745 ad eundem diem,1,1,1746,1746,a Sues Die Novembris 1745 ad eundem Diem,pre_1760
abstract of receipts and payments for the year ending dec r 31 1855,1,1,1885,1885,Abstract of Receipts and payments for the year ending Dec'r 31' 1855,post_1840
abstract of receipts and payments for the year ending december 31st 1886,1,1,1886,1886,Abstract of Receipts and Payments for the Year ending December 31st 1886,post_1840
abstracts of receipts and payments for the year ending december 31st 1859,1,1,1889,1889,Abstracts of Receipts and Payments for the Year ending December 31st 1859.,post_1840
acc diner,1,1,1712,1712,Acc: Diner,pre_1760
accaragia pro secundo die novembris a d 1813,1,1,1812,1812,Accaragia pro secundo die Novembris A.D. 1813.,industrial_1760_1840
